SEMEL_YISHUV,CITY_NAME,BOROUGH,N_COMMUTERS,Private car - driver,Private car - passenger,Public bus,Light rail / metro,Employer transport,Israel Railways,Service taxi,Special taxi,Motorcycle / moped,Bicycle,Walking,Truck,Other vehicle
70,"ASHDOD",1,14335,37.749,4.126,27.063,0.216,12.602,0.417,0.128,0.45,0.466,1.219,14.669,0.329,0.566
70,"ASHDOD",2,9409,25.554,4.377,31.314,0.025,7.784,0.851,0.243,0.709,0.144,0.506,27.344,0.162,0.986
70,"ASHDOD",3,11857,61.771,3.371,12.271,0.241,9.401,1.975,0.25,0.567,0.486,0.92,7.649,0.424,0.674
70,"ASHDOD",4,15406,68.177,3.341,11.488,0.131,9.333,2.203,0.317,0.229,0.536,0.495,2.987,0.318,0.444
70,"ASHDOD",5,12043,52.368,3.597,21.01,0.095,10.614,1.04,0.371,0.259,0.474,0.496,8.678,0.569,0.428
70,"ASHDOD",6,13457,49.525,3.84,22.116,0.115,10.017,2.354,0.16,0.308,0.811,0.913,8.955,0.412,0.473
70,"ASHDOD",7,13445,65.96,4.262,11.878,0.347,7.827,2.634,0.109,0.46,0.575,0.592,4.651,0.265,0.441
1200,"MODI'IN-MAKKABBIM-RE'UT",1,11224,73.249,2.762,10.285,0.069,1.429,3.691,0.095,0.146,0.773,0.506,6.418,0.143,0.433
1200,"MODI'IN-MAKKABBIM-RE'UT",2,15866,79.357,2.209,8.557,0.098,1.383,2.703,0.103,0.238,0.81,0.262,3.672,0.216,0.392
1200,"MODI'IN-MAKKABBIM-RE'UT",3,12364,85.248,2.14,5.433,0.171,1.658,2.35,0.023,0.405,0.524,0.174,1.563,0.107,0.203
2610,"BET SHEMESH",1,9713,44.434,3.687,30.21,0.258,7.701,0.803,0.409,0.352,0.575,0.088,10.25,0.695,0.537
2610,"BET SHEMESH",2,8809,41.688,4.188,34.151,0.045,6.113,0.901,0.086,0.444,0.388,0.331,10.936,0.388,0.34
