SEMEL_YISHUV,CITY_NAME,N_COMMUTERS,Private car - driver,Private car - passenger,Public bus,Light rail / metro,Employer transport,Israel Railways,Service taxi,Special taxi,Motorcycle / moped,Bicycle,Walking,Truck,Other vehicle
26,"ROSH PINNA",1293,84.794,1.796,2.427,0.0,1.37,0.0,0.0,0.0,0.381,0.0,8.759,0.29,0.182
28,"MAZKERET BATYA",6698,82.098,1.664,4.991,0.129,1.885,3.833,0.081,0.062,0.953,0.306,3.744,0.0,0.254
29,"YESUD HAMA'ALA",1699,83.624,3.763,3.727,0.0,1.05,0.0,0.0,0.0,0.527,1.22,5.737,0.0,0.352
31,"OFAQIM",13646,51.639,3.762,19.724,0.155,10.292,2.275,0.091,0.26,0.376,0.632,9.495,0.737,0.561
41,"ELYAKHIN",1763,80.408,1.988,5.82,0.0,2.059,2.473,0.0,0.0,0.393,0.499,4.403,1.226,0.732
46,"YAVNE'EL",1323,66.031,7.5,8.292,0.0,3.524,0.596,0.288,0.0,0.0,0.0,11.058,1.564,1.147
47,"KEFAR TAVOR",1867,89.018,1.466,2.713,0.0,1.553,0.0,0.0,0.0,0.239,0.137,3.93,0.199,0.745
65,"MIGDAL",747,73.317,3.686,9.619,0.0,5.873,0.0,0.0,0.0,0.0,0.0,5.183,0.833,1.487
70,"ASHDOD",89952,52.787,3.825,19.07,0.173,9.749,1.678,0.223,0.409,0.516,0.745,9.914,0.357,0.552
99,"MIZPE RAMON",2045,47.972,2.993,7.321,0.0,4.792,0.0,0.0,0.0,0.37,2.353,34.2,0.0,0.0
122,"RAMAT YISHAY",3584,85.035,1.293,4.222,0.0,3.341,1.368,0.0,0.313,0.163,0.0,3.499,0.0,0.766
154,"TEL MOND",5936,82.842,2.69,3.094,0.137,1.304,2.985,0.0,0.219,1.348,0.402,4.254,0.351,0.373
166,"GAN YAVNE",10992,81.778,2.652,6.102,0.126,2.595,1.302,0.034,0.269,0.675,0.343,3.016,0.638,0.469
168,"KEFAR YONA",12361,79.052,2.697,8.17,0.1,1.618,1.353,0.192,0.038,1.97,0.348,3.451,0.467,0.546
171,"PARDESIYYA",3661,89.015,1.899,2.694,0.117,0.894,2.063,0.0,0.0,0.891,0.145,2.129,0.0,0.153
182,"EVEN YEHUDA",5911,82.346,2.09,2.474,0.205,0.396,3.962,0.164,0.333,2.319,0.495,4.405,0.28,0.532
195,"QADIMA-ZORAN",9320,82.596,2.083,4.6,0.0,1.101,2.351,0.0,0.39,1.993,0.598,3.792,0.232,0.265
229,"GANNE TIQWA",9488,81.581,1.957,7.03,0.0,0.952,0.436,0.104,0.139,1.938,0.558,4.461,0.229,0.615
240,"YOQNE'AM ILLIT",10739,75.556,2.93,9.145,0.116,6.294,0.561,0.078,0.058,0.245,0.225,4.343,0.223,0.226
246,"NETIVOT",15864,56.779,5.844,17.576,0.169,5.411,3.297,0.138,0.101,0.396,0.488,8.886,0.241,0.674
267,"KEFAR SHEMARYAHU",657,84.4,4.875,2.109,0.0,0.0,0.0,0.0,0.983,2.359,1.852,2.974,0.0,0.447
466,"BET DAGAN",3668,72.031,3.086,13.553,0.145,2.332,0.096,0.083,0.708,2.786,0.151,3.56,1.021,0.447
469,"QIRYAT EQRON",5163,68.623,4.41,11.669,0.143,3.959,0.428,0.0,0.431,2.034,0.75,6.278,0.704,0.571
472,"ABU GHOSH",3110,68.644,3.78,12.823,0.131,5.469,0.0,0.0,0.43,0.561,0.519,6.893,0.751,0.0
473,"ABU SINAN",5372,67.477,6.953,2.554,0.128,11.808,0.0,0.582,0.324,0.566,0.467,7.757,0.91,0.475
478,"IKSAL",4803,67.301,7.69,4.057,0.254,11.921,0.189,0.091,0.0,0.071,0.128,7.715,0.401,0.184
480,"BEIT JANN",4941,61.163,6.36,3.624,0.399,16.448,1.34,0.0,0.0,0.132,0.0,9.474,0.0,1.058
481,"MUGHAR",8296,64.756,6.423,7.308,0.134,13.683,0.365,0.068,0.135,0.264,0.0,5.667,0.549,0.647
482,"BU'EINE-NUJEIDAT",3511,58.268,8.766,4.18,0.0,21.656,0.0,0.07,0.228,0.0,0.065,5.372,0.879,0.515
483,"BI'NE",2978,60.015,8.191,4.155,0.667,9.388,0.949,0.407,0.486,0.385,0.0,12.146,1.476,1.736
485,"JULIS",3038,71.225,4.677,2.912,0.473,8.962,1.54,0.54,0.0,0.382,0.0,8.273,0.173,0.843
487,"JISH(GUSH HALAV)",1462,73.512,4.547,2.537,0.0,7.809,1.249,0.0,0.0,0.0,0.0,9.123,0.0,1.224
