SEMEL_YISHUV,CITY_NAME,ROVA,TAT_ROVA,N_COMMUTERS,Private car - driver,Private car - passenger,Public bus,Light rail / metro,Employer transport,Israel Railways,Service taxi,Special taxi,Motorcycle / moped,Bicycle,Walking,Truck,Other vehicle
70,"ASHDOD",1,12,5262,48.988,3.395,23.369,0.213,10.626,0.904,0.0,0.8,0.734,0.727,9.459,0.276,0.507
70,"ASHDOD",1,13,3089,35.931,3.478,24.716,0.506,21.97,0.0,0.218,0.0,0.54,2.199,9.872,0.57,0.0
70,"ASHDOD",1,14,5984,28.805,5.104,31.524,0.068,9.504,0.205,0.194,0.375,0.192,1.145,21.726,0.251,0.909
70,"ASHDOD",2,21,5066,21.008,4.12,28.188,0.047,6.372,1.115,0.281,0.927,0.114,0.458,36.375,0.097,0.896
70,"ASHDOD",2,22,4343,30.856,4.676,34.96,0.0,9.431,0.542,0.199,0.454,0.18,0.562,16.811,0.238,1.091
70,"ASHDOD",3,31,2806,66.545,4.253,9.955,0.083,6.41,2.18,0.192,0.442,0.35,1.068,7.185,0.613,0.723
70,"ASHDOD",3,32,9051,60.291,3.098,12.989,0.29,10.328,1.911,0.268,0.606,0.528,0.874,7.793,0.365,0.659
70,"ASHDOD",4,41,5216,59.345,3.613,14.454,0.118,14.174,1.572,0.064,0.614,0.331,0.59,4.324,0.415,0.384
70,"ASHDOD",4,42,3081,71.662,2.463,9.408,0.0,7.944,3.314,0.0,0.106,0.668,0.733,2.939,0.17,0.594
70,"ASHDOD",4,43,7109,73.146,3.521,10.214,0.198,6.383,2.185,0.639,0.0,0.63,0.323,2.026,0.311,0.423
70,"ASHDOD",5,51,6139,49.333,4.456,20.974,0.144,13.157,0.945,0.432,0.123,0.364,0.53,8.395,0.639,0.505
70,"ASHDOD",5,52,5904,55.523,2.704,21.048,0.045,7.969,1.138,0.307,0.4,0.589,0.46,8.972,0.497,0.348
70,"ASHDOD",6,61,5651,39.078,4.139,29.467,0.098,10.739,1.961,0.126,0.506,1.406,0.928,10.681,0.334,0.536
70,"ASHDOD",6,62,4242,55.547,3.989,18.668,0.235,7.524,4.147,0.116,0.304,0.557,0.728,7.401,0.26,0.524
70,"ASHDOD",6,63,3564,58.922,3.187,14.566,0.0,11.839,0.842,0.268,0.0,0.17,1.111,8.069,0.715,0.311
70,"ASHDOD",7,71,6250,65.293,3.808,11.421,0.316,8.663,3.01,0.085,0.549,0.416,0.596,5.194,0.334,0.315
70,"ASHDOD",7,72,7195,66.54,4.656,12.275,0.373,7.1,2.308,0.129,0.382,0.714,0.588,4.18,0.205,0.55
1200,"MODI'IN-MAKKABBIM-RE'UT",1,11,7425,73.921,2.48,11.417,0.105,1.255,3.892,0.062,0.055,0.838,0.596,4.715,0.179,0.485
