OBJECTID,SEMEL_YISHUV,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,STAT_2022,YISHUV_STAT_2022,ROVA,TAT_ROVA,COD_TIFKUD,SHAPE_Length,SHAPE_Area
1,7,שחר,SHAHAR,1,70001,,,1,7470.55104813328,2299947.62577111
2,10,תירוש,TIROSH,1,100001,,,1,5373.97932495296,1348877.19676293
3,11,"ניר ח""ן",NIR HEN,1,110001,,,1,4668.72171195248,895049.465498536
4,13,חצבה,HAZEVA,1,130001,,,1,5623.05645701819,1306251.82714153
5,15,נועם,NO'AM,1,150001,,,1,6987.29360457476,1656053.16577865
6,16,בית ניר,BET NIR,1,160001,,,1,3947.15957112655,618885.346880971
7,18,שדה משה,SEDE MOSHE,1,180001,,,1,6249.67560868476,1827649.51995908
8,21,באר אורה,BE'ER ORA,1,210001,,,1,3054.20979799843,508136.226027745
9,22,מקווה ישראל,MIQWE YISRA'EL,1,220001,,,5,4043.49444910731,478365.56935916
10,23,אמציה,AMAZYA,1,230001,,,1,1753.60602331344,185849.647701346
11,24,לכיש,LAKHISH,1,240001,,,1,7310.03107021003,1108518.9438537
12,26,ראש פינה,ROSH PINNA,1,260001,,,1,48192.9605286883,16805684.4394455
13,27,שדות מיכה,SEDOT MIKHA,1,270001,,,1,4488.19638919338,923522.463105967
14,28,מזכרת בתיה,MAZKERET BATYA,1,280001,,,1,4894.72923554025,865626.995957954
15,28,מזכרת בתיה,MAZKERET BATYA,2,280002,,,1,2585.93612572198,244340.358872017
16,28,מזכרת בתיה,MAZKERET BATYA,3,280003,,,1,2195.78640721603,229140.217371337
17,28,מזכרת בתיה,MAZKERET BATYA,4,280004,,,1,3142.83940306056,341780.633759864
18,28,מזכרת בתיה,MAZKERET BATYA,5,280005,,,1,5424.04338472475,1581077.5998514
19,28,מזכרת בתיה,MAZKERET BATYA,6,280006,,,4,11372.3073401808,4162591.97017383
20,29,יסוד המעלה,YESUD HAMA'ALA,1,290001,,,1,20310.2503200369,11689237.222271
21,31,אופקים,OFAQIM,1,310001,,,1,3434.7231838948,629930.824592036
22,31,אופקים,OFAQIM,2,310002,,,1,6247.33369277071,1036922.58779797
23,31,אופקים,OFAQIM,3,310003,,,1,2920.47089760565,407450.128451013
24,31,אופקים,OFAQIM,4,310004,,,1,3839.63894587337,459004.6084611
25,31,אופקים,OFAQIM,5,310005,,,2,7071.14130212358,2277372.55289169
26,31,אופקים,OFAQIM,6,310006,,,1,2356.95136454966,299472.626295626
27,31,אופקים,OFAQIM,7,310007,,,1,3610.22624054521,794054.112268457
28,31,אופקים,OFAQIM,8,310008,,,1,4519.85053665464,1213738.75461345
29,31,אופקים,OFAQIM,9,310009,,,4,5680.56933633737,1360715.17690292
30,31,אופקים,OFAQIM,10,310010,,,1,5000.67124758388,1167248.58535464
31,31,אופקים,OFAQIM,11,310011,,,4,3990.63480134637,1006857.11063886
32,31,אופקים,OFAQIM,12,310012,,,4,10303.0511832385,5699632.80134401
33,32,עוצם,OZEM,1,320001,,,1,5994.89597416634,1972345.53742389
34,33,בת שלמה,BAT SHELOMO,1,330001,,,1,5532.81301421907,637311.664898157
35,35,גדות,GADOT,1,350001,,,1,4918.64082656492,824527.009671388
36,36,שדה דוד,SEDE DAWID,1,360001,,,1,4434.99986273419,891090.701686348
37,37,איתן,ETAN,1,370001,,,1,3899.010130004,806700.821050751
38,39,גפן,GEFEN,1,390001,,,1,4224.9406283277,1078326.61134307
39,41,אליכין,ELYAKHIN,1,410001,,,1,7091.60148063586,1689103.30027828
40,43,מטולה,METULA,1,430001,,,1,16928.4258832254,9391855.75051907
41,44,זוהר,ZOHAR,1,440001,,,1,4019.95619955068,922215.088843733
42,46,יבנאל,YAVNE'EL,1,460001,,,1,38083.8977057428,31210766.0618964
43,47,כפר תבור,KEFAR TAVOR,1,470001,,,1,24502.4307265427,12380999.9884503
44,48,מנחמיה,MENAHEMYA,1,480001,,,1,14491.5799780297,7617363.94595557
45,49,אילנייה,ILANIYYA,1,490001,,,1,6464.73207394437,1566669.74028913
46,52,לוזית,LUZIT,1,520001,,,1,4217.95243121556,769870.480894738
47,53,עתלית,ATLIT,1,530001,,,1,7067.28215136934,1402419.46026244
48,53,עתלית,ATLIT,2,530002,,,1,6008.13214123635,1050093.93495389
49,53,עתלית,ATLIT,3,530003,,,1,4202.10357938204,560628.409896552
50,53,עתלית,ATLIT,4,530004,,,1,4664.53427078735,767759.757559409
51,55,נוגה,NOGAH,1,550001,,,1,3891.1444141785,674075.382559967
52,57,כנרת (קבוצה),KINNERET(QEVUZA),1,570001,,,1,3869.92041160079,820853.518035349
53,58,מצפה,MIZPA,1,580001,,,1,2706.84742834899,296923.500673361
54,59,נחושה,NEHUSHA,1,590001,,,1,6391.794525749,783935.340272153
55,62,דגניה א',DEGANYA ALEF,1,620001,,,1,3912.73067800707,899139.166700199
56,63,כנרת (מושבה),KINNERET(MOSHAVA),1,630001,,,1,17310.687695295,6829558.27305105
57,64,"יד רמב""ם",YAD RAMBAM,1,640001,,,1,5274.18277131571,1541817.72733683
58,65,מגדל,MIGDAL,1,650001,,,1,23336.41889447,11627805.4716793
59,66,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,660001,,,1,3878.52890360132,645015.444606838
60,67,אור הנר,OR HANER,1,670001,,,1,3777.19277926495,604790.853329676
61,69,ניר עוז,NIR OZ,1,690001,,,1,4000.34996057084,840596.532495438
62,70,אשדוד,ASHDOD,111,700111,1,11,2,24049.8440213726,14242141.8320176
63,70,אשדוד,ASHDOD,112,700112,1,11,2,7430.12387047385,2593693.66427445
64,70,אשדוד,ASHDOD,113,700113,1,11,2,20258.9079148097,3614237.92968608
65,70,אשדוד,ASHDOD,114,700114,1,11,4,3395.29558006105,558214.434664151
66,70,אשדוד,ASHDOD,121,700121,1,12,6,6437.05324312536,684055.416703377
67,70,אשדוד,ASHDOD,122,700122,1,12,1,3012.74167106962,388859.098340984
68,70,אשדוד,ASHDOD,123,700123,1,12,1,2414.8852594489,313730.214047143
69,70,אשדוד,ASHDOD,124,700124,1,12,6,3801.84168732244,401501.892253762
70,70,אשדוד,ASHDOD,125,700125,1,12,1,1583.75275249087,150668.339944859
71,70,אשדוד,ASHDOD,126,700126,1,12,1,2020.73159529469,251235.295502621
72,70,אשדוד,ASHDOD,131,700131,1,13,1,1693.2228404821,154362.954724163
73,70,אשדוד,ASHDOD,132,700132,1,13,1,1669.28463230773,157015.354245167
74,70,אשדוד,ASHDOD,133,700133,1,13,1,4167.56925640325,606561.899627155
75,70,אשדוד,ASHDOD,141,700141,1,14,1,2311.89196249217,175111.823545714
76,70,אשדוד,ASHDOD,142,700142,1,14,1,1727.35239801882,108835.820116494
77,70,אשדוד,ASHDOD,143,700143,1,14,1,1808.75465149592,210302.831959883
78,70,אשדוד,ASHDOD,144,700144,1,14,1,2227.52234021316,226125.836649248
79,70,אשדוד,ASHDOD,145,700145,1,14,4,11426.772210862,3944121.58327167
80,70,אשדוד,ASHDOD,146,700146,1,14,1,2619.65697526013,316170.399847031
81,70,אשדוד,ASHDOD,211,700211,2,21,1,1336.51692519355,87330.8624277325
82,70,אשדוד,ASHDOD,212,700212,2,21,1,1342.01919762027,103403.541157868
83,70,אשדוד,ASHDOD,213,700213,2,21,1,2524.00616439054,243834.149420442
84,70,אשדוד,ASHDOD,214,700214,2,21,1,1450.01559004981,103218.878209072
85,70,אשדוד,ASHDOD,215,700215,2,21,1,1735.16402791341,88325.0209941422
86,70,אשדוד,ASHDOD,221,700221,2,22,1,1836.582291248,189326.047344098
87,70,אשדוד,ASHDOD,222,700222,2,22,1,2182.05557366148,196778.201314527
88,70,אשדוד,ASHDOD,223,700223,2,22,1,2131.93180049056,262739.249251637
89,70,אשדוד,ASHDOD,311,700311,3,31,1,5287.26907800221,648469.669679591
90,70,אשדוד,ASHDOD,312,700312,3,31,1,2244.66507360698,268873.737009663
91,70,אשדוד,ASHDOD,313,700313,3,31,1,2439.02048510904,344690.453538791
92,70,אשדוד,ASHDOD,321,700321,3,32,1,2339.51035036613,187439.058042861
93,70,אשדוד,ASHDOD,322,700322,3,32,1,2150.94154700859,271787.63493941
94,70,אשדוד,ASHDOD,323,700323,3,32,1,1904.92483495226,210704.796108914
95,70,אשדוד,ASHDOD,324,700324,3,32,1,2111.95773828874,173359.420787629
96,70,אשדוד,ASHDOD,411,700411,4,41,1,3516.17457756026,419930.060402061
97,70,אשדוד,ASHDOD,412,700412,4,41,1,1733.68815662046,207658.535519198
98,70,אשדוד,ASHDOD,413,700413,4,41,1,2484.0200379536,196100.923005509
99,70,אשדוד,ASHDOD,414,700414,4,41,4,10564.0635906007,4134961.8483141
100,70,אשדוד,ASHDOD,421,700421,4,42,4,3342.70569202267,-357206.289270262
101,70,אשדוד,ASHDOD,422,700422,4,42,1,1640.72548201863,128230.457581439
102,70,אשדוד,ASHDOD,423,700423,4,42,1,1483.24174593597,-107017.048964194
103,70,אשדוד,ASHDOD,431,700431,4,43,6,6982.21109802538,1084985.58318108
